pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,차우찬,이호준,76455,94629,143,파울,,,,0,2,2,1,말,0,0,0,0,우,좌,,정근우,,차우찬,진갑용,채태인,김상수,조동찬,박진만,최형우,우동균,박한이,,75808.0,,76455,97202,77463,79402,72466,96307,72443,78454,71432,,,,,,,,,,,,,,,,,,20090501,SK,SS,SSG,삼성,문학,이민호,9,3,-1,20090501SSSK0
슬라이더,차우찬,이호준,76455,94629,130,스트라이크,삼진,삼진,이호준 :  삼진 아웃;,0,2,2,1,말,0,0,0,0,우,좌,,정근우,,차우찬,진갑용,채태인,김상수,조동찬,박진만,최형우,우동균,박한이,,75808.0,,76455,97202,77463,79402,72466,96307,72443,78454,71432,,,,,,,,,,,,,,,,,,20090501,SK,SS,SSG,삼성,문학,이민호,9,4,-1,20090501SSSK0
슬라이더,송은범,채태인,73801,77463,128,파울,,,,0,0,0,2,초,0,0,0,0,좌,우,,,,송은범,박경완,모창민,정근우,최정,나주환,박재상,박재홍,박정권,,,,73801,92809,78813,75808,75847,73209,71857,96362,74846,,,,,,,,,,,,,,,,,,20090501,SK,SS,SSG,삼성,문학,이민호,10,1,-1,20090501SSSK0
커브,송은범,채태인,73801,77463,109,스트라이크,,,,0,1,0,2,초,0,0,0,0,좌,우,,,,송은범,박경완,모창민,정근우,최정,나주환,박재상,박재홍,박정권,,,,73801,92809,78813,75808,75847,73209,71857,96362,74846,,,,,,,,,,,,,,,,,,20090501,SK,SS,SSG,삼성,문학,이민호,10,2,-1,20090501SSSK0
직구,송은범,채태인,73801,77463,137,볼,,,,0,2,0,2,초,0,0,0,0,좌,우,,,,송은범,박경완,모창민,정근우,최정,나주환,박재상,박재홍,박정권,,,,73801,92809,78813,75808,75847,73209,71857,96362,74846,,,,,,,,,,,,,,,,,,20090501,SK,SS,SSG,삼성,문학,이민호,10,3,-1,20090501SSSK0
직구,송은범,채태인,73801,77463,143,헛스윙,삼진,삼진,채태인 :  삼진 아웃;,1,2,0,2,초,0,0,0,0,좌,우,,,,송은범,박경완,모창민,정근우,최정,나주환,박재상,박재홍,박정권,,,,73801,92809,78813,75808,75847,73209,71857,96362,74846,,,,,,,,,,,,,,,,,,20090501,SK,SS,SSG,삼성,문학,이민호,10,4,-1,20090501SSSK0
직구,송은범,박진만,73801,96307,141,볼,,,,0,0,1,2,초,0,0,0,0,우,우,,,,송은범,박경완,모창민,정근우,최정,나주환,박재상,박재홍,박정권,,,,73801,92809,78813,75808,75847,73209,71857,96362,74846,,,,,,,,,,,,,,,,,,20090501,SK,SS,SSG,삼성,문학,이민호,11,1,-1,20090501SSSK0
직구,송은범,박진만,73801,96307,138,타격,안타,안타,박진만 : 중견수 오른쪽 1루타;,1,0,1,2,초,0,0,0,0,우,우,,,,송은범,박경완,모창민,정근우,최정,나주환,박재상,박재홍,박정권,,,,73801,92809,78813,75808,75847,73209,71857,96362,74846,,,,,,,,,,,,,,,,,,20090501,SK,SS,SSG,삼성,문학,이민호,11,2,-1,20090501SSSK0
직구,송은범,조동찬,73801,72466,141,파울,,,,0,0,1,2,초,0,0,0,0,우,우,박진만,,,송은범,박경완,모창민,정근우,최정,나주환,박재상,박재홍,박정권,96307.0,,,73801,92809,78813,75808,75847,73209,71857,96362,74846,,,,,,,,,,,,,,,,,,20090501,SK,SS,SSG,삼성,문학,이민호,12,1,-1,20090501SSSK0
슬라이더,송은범,조동찬,73801,72466,130,볼,,,,0,1,1,2,초,0,0,0,0,우,우,박진만,,,송은범,박경완,모창민,정근우,최정,나주환,박재상,박재홍,박정권,96307.0,,,73801,92809,78813,75808,75847,73209,71857,96362,74846,,,,,,,,,,,,,,,,,,20090501,SK,SS,SSG,삼성,문학,이민호,12,2,-1,20090501SSSK0
