pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,카도쿠라,이종욱,79854,73339,141,스트라이크,,,,0,0,0,1,초,0,0,0,0,좌,우,,,,카도쿠라,박경완,박정권,정근우,최정,나주환,박재상,김강민,박재홍,,,,79854,92809,74846,75808,75847,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20100403,SK,OB,SSG,두산,문학,김귀한,1,1,-1,20100403OBSK0
포크,카도쿠라,이종욱,79854,73339,121,파울,,,,0,1,0,1,초,0,0,0,0,좌,우,,,,카도쿠라,박경완,박정권,정근우,최정,나주환,박재상,김강민,박재홍,,,,79854,92809,74846,75808,75847,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20100403,SK,OB,SSG,두산,문학,김귀한,1,2,-1,20100403OBSK0
직구,카도쿠라,이종욱,79854,73339,142,볼,,,,0,2,0,1,초,0,0,0,0,좌,우,,,,카도쿠라,박경완,박정권,정근우,최정,나주환,박재상,김강민,박재홍,,,,79854,92809,74846,75808,75847,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20100403,SK,OB,SSG,두산,문학,김귀한,1,3,-1,20100403OBSK0
포크,카도쿠라,이종욱,79854,73339,124,볼,,,,1,2,0,1,초,0,0,0,0,좌,우,,,,카도쿠라,박경완,박정권,정근우,최정,나주환,박재상,김강민,박재홍,,,,79854,92809,74846,75808,75847,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20100403,SK,OB,SSG,두산,문학,김귀한,1,4,-1,20100403OBSK0
직구,카도쿠라,이종욱,79854,73339,139,스트라이크,삼진,삼진,이종욱 :  삼진 아웃;,2,2,0,1,초,0,0,0,0,좌,우,,,,카도쿠라,박경완,박정권,정근우,최정,나주환,박재상,김강민,박재홍,,,,79854,92809,74846,75808,75847,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20100403,SK,OB,SSG,두산,문학,김귀한,1,5,-1,20100403OBSK0
포크,카도쿠라,이원석,79854,75566,124,볼,,,,0,0,1,1,초,0,0,0,0,우,우,,,,카도쿠라,박경완,박정권,정근우,최정,나주환,박재상,김강민,박재홍,,,,79854,92809,74846,75808,75847,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20100403,SK,OB,SSG,두산,문학,김귀한,2,1,-1,20100403OBSK0
포크,카도쿠라,이원석,79854,75566,127,볼,,,,1,0,1,1,초,0,0,0,0,우,우,,,,카도쿠라,박경완,박정권,정근우,최정,나주환,박재상,김강민,박재홍,,,,79854,92809,74846,75808,75847,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20100403,SK,OB,SSG,두산,문학,김귀한,2,2,-1,20100403OBSK0
직구,카도쿠라,이원석,79854,75566,140,스트라이크,,,,2,0,1,1,초,0,0,0,0,우,우,,,,카도쿠라,박경완,박정권,정근우,최정,나주환,박재상,김강민,박재홍,,,,79854,92809,74846,75808,75847,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20100403,SK,OB,SSG,두산,문학,김귀한,2,3,-1,20100403OBSK0
직구,카도쿠라,이원석,79854,75566,140,스트라이크,,,,2,1,1,1,초,0,0,0,0,우,우,,,,카도쿠라,박경완,박정권,정근우,최정,나주환,박재상,김강민,박재홍,,,,79854,92809,74846,75808,75847,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20100403,SK,OB,SSG,두산,문학,김귀한,2,4,-1,20100403OBSK0
포크,카도쿠라,이원석,79854,75566,127,타격,포스 아웃,땅볼 아웃,이원석 : 1루수 땅볼 아웃 (1루수->투수 1루 터치아웃);,2,2,1,1,초,0,0,1,0,우,우,,,,카도쿠라,박경완,박정권,정근우,최정,나주환,박재상,김강민,박재홍,,,,79854,92809,74846,75808,75847,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20100403,SK,OB,SSG,두산,문학,김귀한,2,5,-1,20100403OBSK0
